S.N,Scrip,Current Balance,Previous Closing Price,Value as of Previous Closing Price,Last Transaction Price (LTP),Value as of LTP
1,ALICL,133,796,105868,797,106001
2,CBBL,38,1100,41800,1110.3,42191.4
3,CGH,100,1205,120500,1175,117500
4,CKHL,10,658,6580,650,6500
5,CLI,10,714,7140,705,7050
6,GBIME,53,287,15211,287,15211
7,GCIL,11,568.9,6257.9,568,6248
8,GILB,112,1363,152656,1341,150192
9,HDL,101,1529.4,154469.4,1513,152813
10,HLI,161,544,87584,539.1,86795.1
11,IHL,10,596.7,5967,583.1,5831
12,ILI,12,573,6876,567,6804
13,JBLB,45,1760,79200,1780,80100
14,KMCDB,4,1096,4384,1107,4428
15,MFIL,21,832,17472,848,17808
16,NABIL,39,662,25818,658.3,25673.7
17,NADEP,1,1137.9,1137.9,1107,1107
18,NBL,147,323,47481,317,46599
19,NGPL,26,502.1,13054.6,509,13234
20,NICADF,100,10.73,1073,10.74,1074
21,NLIC,101,980,98980,969,97869
22,NMB,539,280.6,151243.4,279.1,150434.9
23,NUBL,29,853,24737,844,24476
24,SANIMA,357,369,131733,370,132090
25,SBL,264,359.9,95013.6,366.9,96861.6
26,UAIL,336,750,252000,750.1,252033.6
Total :,,,,1654236.8,,1646925.3
